Kind,Name,SumCyclomatic,AvgEssential,MaxInheritanceTree,PercentLackOfCohesion,CountClassDerived,CountClassCoupled,CountDeclMethod,Essential,CountLineCode
File,CalculatorTests.java,4,1,,,,,3,,31
File,Categories.java,0,0,,,,,0,,13
File,ChildWithBridgeMethods.java,3,1,,,,,3,,18
File,ChildWithoutBridgeMethods.java,3,1,,,,,3,,18
File,ChildrenSharedResourcesDemo.java,5,1,,,,,5,,33
File,Class1WithTestCases.java,1,1,,,,,1,,7
File,Class2WithTestCases.java,1,1,,,,,1,,7
File,ClassBasedTestDescriptor.java,86,1,,,,,36,,389
File,ClassContainerSelectorResolver.java,6,1,,,,,5,,39
File,ClassDescriptor.java,0,0,,,,,5,,14
File,ClassExtensionContext.java,12,1,,,,,12,,70
File,ClassFilter.java,6,1,,,,,5,,26
File,ClassLevelAnnotationTests.java,1,1,,,,,1,,13
File,ClassLevelDir.java,0,0,,,,,0,,9
File,ClassLoaderUtils.java,13,3,,,,,4,,57
File,ClassLoaderUtilsTests.java,12,1,,,,,10,,88
File,ClassNameFilter.java,2,1,,,,,2,,14
File,ClassNameFilterTests.java,12,1,,,,,6,,109
File,ClassNamePatternFilterUtils.java,21,1,,,,,11,,66
File,ClassNamePatternFilterUtilsTests.java,17,1,,,,,17,,252
File,ClassOrderer.java,11,1,,,,,10,,59
File,ClassOrdererContext.java,0,0,,,,,2,,10
File,ClassOrderingVisitor.java,13,1,,,,,6,,60
File,ClassSelector.java,17,1,,,,,12,,87
File,ClassSelectorResolver.java,33,1,,,,,9,,132
File,ClassSelectorResolver.java,21,1,,,,,8,,95
File,ClassSelectorResolver.java,14,1,,,,,5,,61
File,ClassSelectorTests.java,3,1,,,,,3,,27
File,ClassSource.java,21,1,,,,,15,,96
File,ClassSourceTests.java,24,1,,,,,15,,133
File,ClassSupport.java,3,1,,,,,3,,16
File,ClassSupportTests.java,4,1,,,,,2,,23
File,ClassTestDescriptor.java,8,1,,,,,6,,49
File,ClassUtils.java,8,1,,,,,4,,24
File,ClassUtilsTests.java,2,1,,,,,2,,23
File,ClassWithStaticInnerTestCases.java,2,1,,,,,2,,16
File,ClassWithoutTestCases.java,0,0,,,,,0,,3
File,ClasspathAlignmentChecker.java,13,1,,,,,4,,86
File,ClasspathAlignmentCheckerTests.java,9,1,,,,,3,,63
File,ClasspathAlignmentCheckingLauncherInterceptor.java,4,1,,,,,2,,23
File,ClasspathEntriesConverter.java,1,1,,,,,1,,14
File,ClasspathFileVisitor.java,8,1,,,,,4,,41
File,ClasspathFilters.java,7,1,,,,,5,,23
File,ClasspathResourceSelector.java,20,1,,,,,12,,109
File,ClasspathResourceSelectorTests.java,2,1,,,,,2,,19
File,ClasspathResourceSource.java,14,1,,,,,10,,71
File,ClasspathResourceSourceTests.java,14,1,,,,,9,,82
File,ClasspathRootSelector.java,11,1,,,,,9,,65
File,ClasspathRootSelectorTests.java,1,1,,,,,1,,13
File,ClasspathScanner.java,0,0,,,,,4,,14
File,ClasspathScannerLoader.java,3,1,,,,,1,,24
File,ClasspathScanningSupport.java,3,1,,,,,3,,30
File,CleanupMode.java,0,0,,,,,2,,10
File,CloseablePath.java,24,1,,,,,11,,103
File,CloseablePathTests.java,37,1,,,,,27,,345
File,CloseablePathTests.java,14,1,,,,,7,,94
File,CloseableResourceIntegrationTests.java,8,1,,,,,6,,65
File,CollectionUtils.java,31,2,,,,,9,,132
File,CollectionUtilsTests.java,48,1,,,,,30,,281
File,ColorPalette.java,20,1,,,,,12,,95
File,ColorPaletteTests.java,14,1,,,,,13,,146
File,CommandFacade.java,6,1,,,,,4,,31
File,CommandLineOptionsParsingTests.java,251,1,,,,,67,,575
File,CommandResult.java,6,1,,,,,6,,30
File,ComparableContract.java,3,1,,,,,4,,24
File,CompletelyDynamicTestCase.java,0,0,,,,,0,,7
File,CompositeEngineExecutionListener.java,23,1,,,,,8,,69
File,CompositeEngineExecutionListenerTests.java,22,1,,,,,20,,136
File,CompositeFilter.java,10,1,,,,,7,,53
File,CompositeLauncherDiscoveryListener.java,11,1,,,,,6,,37
File,CompositeLauncherDiscoveryListenerTests.java,1,1,,,,,1,,40
File,CompositeLauncherSessionListener.java,5,1,,,,,3,,21
File,CompositeLauncherSessionListenerTests.java,1,1,,,,,1,,24
File,CompositeLock.java,16,1,,,,,11,,79
File,CompositeLockTests.java,9,1,,,,,5,,72
File,CompositeTestExecutionListener.java,35,1,,,,,12,,99
File,CompositeTestExecutionListenerTests.java,34,1,,,,,31,,206
File,CompositeTestSource.java,8,1,,,,,6,,46
File,CompositeTestSourceTests.java,8,1,,,,,5,,46
File,ConcreteJUnit4TestCase.java,0,0,,,,,0,,3
File,ConcurrencyTestingUtils.java,9,2,,,,,2,,53
File,ConditionEvaluationException.java,1,1,,,,,1,,9
File,ConditionEvaluationResult.java,8,1,,,,,7,,41
File,ConditionEvaluator.java,8,1,,,,,4,,46
File,ConditionalTestExecutionDemo.java,34,1,,,,,34,,169
File,ConfigLoaderExtension.java,1,1,,,,,1,,8
File,ConfigurableRunner.java,5,1,,,,,4,,42
File,ConfigurationParameter.java,0,0,,,,,2,,20
File,ConfigurationParameters.java,3,1,,,,,5,,34
File,ConfigurationParameters.java,0,0,,,,,1,,17
File,ConfigurationParametersFactoryForTests.java,2,1,,,,,2,,25
File,ConfigurationParametersResource.java,0,0,,,,,1,,19
File,ConfigurationParametersResources.java,0,0,,,,,1,,17
File,ConfigurationSensitiveTestCase.java,2,1,,,,,2,,17
File,ConfigurationSuite.java,0,0,,,,,0,,11
File,ConsoleDetailsTests.java,29,1,,,,,19,,203
File,ConsoleLauncher.java,3,1,,,,,3,,22
File,ConsoleLauncherIntegrationTests.java,14,1,,,,,6,,72
File,ConsoleLauncherTests.java,8,1,,,,,8,,67
File,ConsoleLauncherToolProvider.java,2,1,,,,,2,,16
File,ConsoleLauncherWrapper.java,7,1,,,,,5,,41
File,ConsoleLauncherWrapperResult.java,23,1,,,,,21,,121
File,ConsoleTestExecutor.java,32,1,,,,,15,,152
File,ConsoleTestExecutorTests.java,16,1,,,,,6,,83
File,ConsoleUtils.java,1,1,,,,,1,,10
File,ConsoleUtils.java,2,1,,,,,1,,12
File,ConsoleUtilsTests.java,2,1,,,,,1,,12
