Kind,Name,SumCyclomatic,AvgEssential,MaxInheritanceTree,PercentLackOfCohesion,CountClassDerived,CountClassCoupled,CountDeclMethod,Essential,CountLineCode
Public Class,org.junit.jupiter.params.ParameterizedInvocationConstants,1,1,1,0,0,3,1,,14
Public Class,org.junit.jupiter.params.ParameterizedInvocationNameFormatterBenchmarks,4,1,1,25,0,18,2,,33
Public Class,org.junit.jupiter.params.aggregator.AggregatorIntegrationTests,24,1,1,0,0,35,20,,293
Public Class,org.junit.jupiter.params.aggregator.ArgumentAccessException,2,1,3,0,0,3,2,,10
Public Class,org.junit.jupiter.params.aggregator.ArgumentsAggregationException,2,1,3,0,0,3,2,,10
Public Class,org.junit.jupiter.params.aggregator.DefaultArgumentsAccessor,22,1,1,82,0,23,17,,94
Public Class,org.junit.jupiter.params.converter.ArgumentConversionException,2,1,3,0,0,3,2,,10
Public Class,org.junit.jupiter.params.converter.DefaultArgumentConverter,12,2,1,67,0,16,6,,59
Public Class,org.junit.jupiter.params.provider.CsvParsingException,2,1,3,0,0,3,2,,10
Public Class,org.junit.platform.commons.JUnitException,3,1,2,0,16,3,3,,14
Public Class,org.junit.platform.commons.PreconditionViolationException,2,1,4,0,0,4,2,,11
Public Class,org.junit.platform.commons.function.TryTests,25,1,1,0,0,8,5,,74
Public Class,org.junit.platform.commons.logging.LogRecordListener,12,1,1,50,0,8,6,,31
Public Class,org.junit.platform.commons.support.DefaultResource,8,1,1,17,0,7,6,,37
Private Class,org.junit.platform.commons.support.ModifierSupportTests.PrivateClass,1,1,1,0,0,1,1,,5
Public Class,org.junit.platform.commons.support.ModifierSupportTests.PublicClass,1,1,1,0,0,0,1,,4
Public Class,org.junit.platform.commons.support.conversion.ConversionException,2,1,3,0,0,3,2,,10
Public Class,org.junit.platform.commons.support.scanning.ClassFilter,6,1,1,60,0,5,5,,21
Public Class,org.junit.platform.commons.support.scanning.DefaultClasspathScanner,54,1,1,92,0,37,26,,232
Public Class,org.junit.platform.commons.test.ConcurrencyTestingUtils,9,1,1,0,0,12,2,,43
Public Class,org.junit.platform.commons.test.TestClassLoader,11,1,2,67,0,11,6,,35
Public Class,org.junit.platform.commons.util.ClassNamePatternFilterUtils,20,1,1,0,0,11,9,,55
Public Class,org.junit.platform.commons.util.ModuleUtils,9,1,1,0,0,11,6,,30
Public Class,org.junit.platform.commons.util.ModuleUtils,26,1,1,0,0,24,10,,149
Public Class,org.junit.platform.commons.util.PreconditionViolationException,2,1,3,0,1,4,2,,11
Public Class,org.junit.platform.commons.util.ReflectionUtilsTests.MiscellaneousTests.NonGenericClass,1,1,1,0,0,0,1,,4
Private Class,org.junit.platform.commons.util.ReflectionUtilsTests.ModifierTests.PrivateClass,1,1,1,0,0,1,1,,5
Public Class,org.junit.platform.commons.util.ReflectionUtilsTests.ModifierTests.PublicClass,5,1,1,0,0,2,5,,12
Public Class,org.junit.platform.commons.util.SerializationUtils,2,1,1,0,0,5,2,,15
Public Class,org.junit.platform.commons.util.ServiceLoaderUtils,3,1,1,0,0,7,2,,13
Public Class,org.junit.platform.commons.util.ServiceLoaderUtils,3,1,1,0,0,4,2,,12
Public Class,org.junit.platform.commons.util.ToStringBuilder,7,1,1,67,0,9,6,,27
Public Class,org.junit.platform.commons.util.classes.AExecutionConditionClass,1,1,1,0,0,3,1,,6
Public Class,org.junit.platform.commons.util.classes.ATestExecutionListenerClass,0,0,1,0,0,0,0,,2
Public Class,org.junit.platform.commons.util.classes.AVanillaEmpty,0,0,1,0,0,0,0,,2
Public Class,org.junit.platform.commons.util.classes.BExecutionConditionClass,1,1,1,0,0,3,1,,6
Public Class,org.junit.platform.commons.util.classes.BTestExecutionListenerClass,0,0,1,0,0,0,0,,2
Public Class,org.junit.platform.commons.util.classes.BVanillaEmpty,0,0,1,0,0,0,0,,2
Public Class,org.junit.platform.commons.util.classes.CustomType,1,1,1,0,0,1,1,,6
Public Class,org.junit.platform.commons.util.pkg1.SuperclassWithStaticPackagePrivateBeforeMethod,1,1,1,0,1,1,1,,5
Public Class,org.junit.platform.commons.util.pkg1.SuperclassWithStaticPackagePrivateTempDirField,0,0,1,0,1,2,0,,4
Public Class,org.junit.platform.commons.util.pkg1.subpkg.SubclassWithNonStaticPackagePrivateBeforeMethod,1,1,2,0,0,1,1,,5
Public Class,org.junit.platform.commons.util.pkg1.subpkg.SubclassWithNonStaticPackagePrivateTempDirField,0,0,2,0,0,2,0,,4
Public Class,org.junit.platform.console.ConsoleLauncher,4,1,1,0,0,7,3,,17
Public Class,org.junit.platform.console.ConsoleLauncherToolProvider,2,1,1,0,0,6,2,,11
Public Class,org.junit.platform.console.options.CommandFacade,6,1,1,50,0,8,4,,25
Public Class,org.junit.platform.console.options.ConsoleUtils,1,1,1,0,0,2,1,,6
Public Class,org.junit.platform.console.options.ConsoleUtils,2,1,1,0,0,3,1,,7
Public Class,org.junit.platform.console.options.StdStreamTestCase,3,1,1,0,0,2,3,,15
Public Class,org.junit.platform.console.options.TestConsoleOutputOptions,14,1,1,86,0,7,14,,59
Public Class,org.junit.platform.console.options.TestDiscoveryOptions,56,1,1,96,0,7,56,,211
Public Class,org.junit.platform.console.tasks.ConsoleTestExecutor,36,1,1,79,0,36,18,,151
Public Class,org.junit.platform.console.tasks.TestFeedPrintingListenerTests,7,1,1,50,0,20,7,,72
Public Class,org.junit.platform.engine.DiscoveryIssueTests,8,1,1,0,0,11,7,,87
Public Class,org.junit.platform.engine.ExecutionRequest,9,1,1,78,0,8,9,,58
Public Class,org.junit.platform.engine.FilterResult,12,1,1,67,0,6,9,,38
Public Class,org.junit.platform.engine.SelectorResolutionResult,7,1,1,57,0,7,7,,39
Public Class,org.junit.platform.engine.TestExecutionResult,7,1,1,57,0,8,7,,37
